Province/ District,Area of Province/District,"Analyzed area in cloud free zones
(km2)",Percentage of analyzed area,"Maximum flood water extent
(km2)",Total population in  Province/ District,Total population in  in cloud free area ,Population potentially exposed,Population potentially exposed (%)
Pakistan,795247,780081,98,55063,226298054,224063686,19368012,9
Balochistan,346638,338174,97,7766,8401762,8284140,734405,9
Awaran,24944,24643,98,195,153845,150359,686,0
Barkhan,3494,3491,99,0,127472,127393,0,0
Chagai,44449,42766,96,303,135021,130317,653,0
Dera Bugti,10270,10130,98,14,233503,230983,1797,1
Gwadar,11459,10217,89,312,223176,202755,5218,2
Harnai,3052,3047,99,0,97788,97733,0,0
Jaffarabad,1796,1796,100,1617,404203,404203,329404,81
Jhal Magsi,3841,3811,99,959,139129,138420,40088,29
Kachhi,5330,5215,97,317,253500,249796,15190,6
Kalat,13851,13703,98,7,305468,300652,146,0
Kech,24550,23654,96,171,531034,515697,4099,1
Kharan,10681,10443,97,1,125025,121444,7,0
Khuzdar,30984,30888,99,64,535974,534264,2179,0
Killa Abdullah,5851,5795,99,3,477796,473063,13,0
Killa Saifullah,12429,12414,99,27,249388,248911,495,0
Kohlu,7690,7677,99,9,127151,126953,572,0
Las Bela,14094,13797,97,388,402413,397382,6279,2
Lehri,3285,3275,99,998,114081,113927,49250,43
Loralai,8143,8081,99,111,319972,316719,5061,2
Mastung,5703,5598,98,10,213127,208926,305,0
Musakhel,5979,5961,99,1475,178300,177667,177248,99
Nasirabad,3230,3220,99,0,311515,311078,0,0
Nushki,5907,4480,75,27,127116,111596,545,0
Panjgur,17580,16941,96,236,300306,288424,1701,1
Pishin,4937,4922,99,6,469649,467409,1951,0
Quetta,2748,2720,98,1,972230,969518,52,0
Sheerani,2949,2940,99,22,113230,112863,627,1
Sibi,4952,4945,99,32,132578,132493,881,1
Sohbatpur,669,663,99,414,124987,124614,89261,71
Washuk,36533,35759,97,4,139054,136631,15,0
Zhob,11993,11957,99,42,260034,259497,668,0
Ziarat,3266,3224,98,0,103683,102440,0,0
Federal Capital Territory,898,898,100,5,2045595,2045595,8936,0
Islamabad,898,898,100,5,2045595,2045595,8936,0
Khyber Pakhtunkhwa,101267,98700,97,2447,37514847,37338068,690327,2
Abbottabad,1756,1745,99,0,1628825,1622771,274,0
Bajaur,1361,1361,100,0,867165,867165,88,0
Bannu,1183,1183,100,3,1239765,1239765,2793,0
Batagram,1356,1240,91,2,567211,548768,1763,0
Buner,1735,1731,99,0,927461,926104,0,0
Charsadda,989,989,100,31,1896179,1896179,48458,3
Chitral,14630,13795,94,22,583829,574910,1615,0
Dera Ismail Khan,7381,7379,99,1797,1577665,1577520,277581,18
FR Bannu,821,821,100,5,44718,44718,355,1
FR Dera Ismail Khan,1663,1643,98,0,55207,54439,13,0
FR Kohat,468,468,100,0,160397,160397,0,0
FR Lakki Marwat,183,183,100,0,12707,12707,0,0
FR Peshawar,259,259,100,0,81358,81358,0,0
FR Tank,1146,1146,100,0,37077,37077,0,0
Hangu,1380,1380,100,0,575581,575581,0,0
Haripur,1922,1921,99,108,1268113,1268010,44104,3
Karak,2653,2653,100,4,792017,792017,471,0
Khyber,2743,2735,99,6,867202,867016,2688,0
Kohat,2975,2975,100,42,1029755,1029755,5763,1
Kohistan,7656,7096,92,2,866361,827761,800,0
Kurram,3399,3218,94,0,717039,686993,0,0
Lakki Marwat,3185,3185,100,8,891106,891106,2687,0
Lower Dir,1595,1595,99,3,1348780,1348743,7685,1
Malakand PA,943,943,100,3,823804,823804,7202,1
Mansehra,4292,4030,93,2,1800223,1776411,3184,0
Mardan,1639,1639,100,10,2668962,2668962,14632,1
Mohmand,2260,2256,99,3,571034,569383,1710,0
North Waziristan,4928,4906,99,4,562568,561075,443,0
Nowshera,1735,1735,100,59,1627517,1627517,66398,4
Orakzai,1376,1375,99,0,340336,340293,0,0
Peshawar,1284,1284,100,19,3637028,3637028,30792,1
Shangla,1389,1369,98,9,802627,798043,5499,1
South Waziristan,6244,6188,99,17,643597,637941,459,0
Swabi,1481,1481,99,78,1876469,1876241,54935,3
Swat,5367,5059,94,20,2314158,2295196,48493,2
Tank,1675,1675,100,166,435322,435322,44713,10
Tor Ghar,467,465,99,22,315574,314867,14581,5
Upper Dir,3748,3594,95,0,1060092,1045107,135,0
Punjab,205343,204749,99,14663,127806344,127785549,7198589,6
Attock,6828,6828,100,108,2273717,2273717,31879,1
Bahawalnagar,8545,8528,99,578,3554359,3552956,295928,8
Bahawalpur,23969,23587,98,122,4214003,4208836,48314,1
Bhakkar,8521,8521,99,98,1808801,1808796,13186,1
Chakwal,6645,6645,100,42,1888433,1888433,8727,0
Chiniot,2610,2610,100,301,1680876,1680876,140068,8
Dera Ghazi Khan,11691,11689,99,1528,2859011,2858943,524054,18
Faisalabad,5961,5961,100,170,9430542,9430542,94669,1
Gujranwala,3623,3623,100,431,5902035,5902035,326744,6
Gujrat,3177,3177,100,433,3597447,3597447,363402,10
Hafizabad,2274,2274,100,236,1448304,1448304,125711,9
Jhang,6352,6352,100,738,3270010,3270010,322948,10
Jhelum,3615,3615,100,152,1620856,1620856,57898,4
Kasur,3951,3951,100,199,4079062,4079062,162122,4
Khanewal,4361,4361,100,273,3606073,3606073,145860,4
Khushab,6623,6623,99,329,1587604,1587593,111656,7
Lahore,1728,1728,100,50,10936388,10936388,107767,1
Layyah,6379,6379,99,559,1956809,1956803,136211,7
Lodhran,2662,2662,100,9,2019191,2019191,3672,0
Mandi Bahauddin,2760,2760,100,471,2008369,2008369,293170,15
Mianwali,6029,6029,100,544,1844220,1844220,116220,6
Multan,3646,3644,99,284,5417627,5415451,170916,3
Muzaffargarh,7668,7668,99,1212,4576603,4576293,485478,11
Nankana Sahib,2774,2774,100,260,2188735,2188735,134925,6
Narowal,2361,2361,100,518,2178390,2178390,457883,21
Okara,4421,4421,100,119,3866303,3866303,68285,2
Pakpattan,2889,2889,100,40,2229341,2229341,21324,1
Rahim Yar Khan,12881,12766,99,590,5481074,5477052,138937,3
Rajanpur,12530,12459,99,1950,1951105,1950252,412509,21
Rawalpindi,5211,5208,99,54,5791718,5784945,17798,0
Sahiwal,3224,3224,100,65,3198265,3198265,43248,1
Sargodha,5779,5779,100,283,4628724,4628724,149426,3
Sheikhupura,3032,3032,100,581,3572875,3572875,358528,10
Sialkot,3064,3064,100,1186,4713945,4713945,1230924,26
Toba Tek Singh,3074,3074,100,122,2809828,2809828,62511,2
Vehari,4486,4486,100,29,3615681,3615681,15673,0
Sindh,141102,137560,97,30182,50529503,48610331,10735752,21
Badin,6731,6730,99,3956,1892610,1892525,1003345,53
Dadu,7994,7413,92,1564,1834601,1782930,695756,38
Ghotki,6358,6227,97,1014,1616345,1611949,359938,22
Hyderabad,1022,1021,99,147,2489786,2487022,405940,16
Jacobabad,2771,2771,100,2568,1249250,1249250,1071036,86
Jamshoro,11264,10706,95,387,995139,963776,90717,9
Karachi City,3653,3339,91,71,16311555,14563091,49291,0
Kashmore,2664,2659,99,2068,1070071,1069496,774677,72
Khairpur,15891,14914,93,858,2590806,2576312,451932,17
Larkana,1910,1910,100,1349,1674789,1674789,885953,53
Matiari,1459,1459,100,236,824438,824438,77838,9
Mirpur Khas,2965,2965,99,176,1503703,1503645,67024,4
Naushahro Feroze,3041,3041,99,614,1808578,1808521,234226,13
Qambar Shahdadkot,5608,5558,99,3427,1540350,1537001,1256062,82
Sanghar,10740,10739,99,744,2413314,2413310,196107,8
Shaheed Benazirabad,4484,4295,95,458,1774486,1761336,165626,9
Shikarpur,2577,2577,100,2321,1484869,1484869,1180817,80
Sujawal,8689,8663,99,3535,882485,881364,521746,59
Sukkur,5204,4834,92,930,1512098,1495163,458999,30
Tando Allah Yar,1573,1573,100,68,834987,834987,20610,2
Tando Muhammad Khan,1544,1544,100,874,676769,676769,333859,49
Tharparkar,19662,19351,98,543,1501706,1473181,17156,1
Thatta,7797,7772,99,1953,938542,936624,336617,36
Umerkot,5503,5500,99,321,1108216,1107973,80469,7
